Überblick - Aufgaben eines Vereinsvorstandes;Präsident;Abtl. +stv. KL;Abtl. + stv. SL;Schatzmeister;Schriftführer;Jugendleiter;Geschäftsstelle;Datenschutz Ansprechpartner;Stützpunktleiter
Mitgliederpflege (Beiträge, Prämien, Abwicklung);;;;;;;x;;
Sporthilfeversicherungsverträge;;;;x;;;;;
gesetzliche Unfallversicherung (VBG);;;;x;;;;;
;;;;;;;;;
;;;;;;;;;
Mitarbeiter;;;;;;;;;
Einsatz, Honorierung, Verträge;x;x;x;;;;;;
Einstellung/Kündigung;x;x;x;;;;;;
Stellen- und Arbeitsplatzbeschreibungen;x;x;x;;x;;x;;
Vertragsausarbeitung für Angestellte und Übungsleiter;x;;;x;;;;;
Arbeits- und tarifrechtliche Fragen;x;x;x; ;;;;;
Stundenabrechnungen pro Monat einfordern, freigeben  und an Schatzmeister weiterleiten;;x;x;;;;;;
Budgetplanung soweit nicht im Haushaltsplan ersichtlich;;x;x;x;;;;;
Fort- und Weiterbildung der Mitarbeiter;x;x;x;x;;x;;;
Gewinnung und Betreuung ehrenamtlicher Mitarbeiter;x;x;x;;;;;;
Personalführung Trainer / Ül / Unterstüzungspersonal;;x;x;;;;;;
Personalabrechnung, Daten an STB geben;; ;;x;;;;;
Verteilen der Lohnabrechnungen, Sozialversicherungsmeldungen und Lohnsteuerbescheinigungen;;;; ;;;x;;
Laufende Überprüfung der Ü-Leiterpauschale;;x;;x;;;;;
;;;;;;;;;
Eishalle  Sportbetrieb;;;;;;;;;
Entwicklung, Planung, Umsetzung, Belegung, Kontrolle;;x;x;;;;x;;
Melden nicht benötigtes Eis in der Geschäftsstelle bei Stützpunktleitung ab;;x;x;;;;;;
Meldet Zusatzeis bei der Stadt an und meldet nicht benötigtes Eis ab und dokumentiert dies. Aufgabe Stütztpunktleitung;;;;;;;x;;x
Sommertrainingsplan / Sommereis;;x;x;;;;;;
Planung Organisation Ablauf des Trainings;;x;x;;;;;;
Planung Organisation Eislaufschule Schnupperkurse;;x;x;;;;x;;
Planung interner Wettbewerbe;x;x;x;x;;x;x;;
Planung externer Wettbewerbe; ;x;x;;;;;;
Planung und Organisation Klassenlaufprüfungen und Kadersichtungen;;x;;;;x;;;
Prüft die Rechnungen der Eismiete auf Basis Belegungsplan;;x;x;x;;;;;
Kadersichtung Leistungsgruppeneinteilung;;x;x;;;;;;
Zusatzkursangebot (off ice, inliner Kurs.... );;x;x;;;x;;;
Zusatzkursangebote online stellen und verwalten;;;;;;;x;;
;;;;;;;;;
;;;;;;;;;
Allgemeine Verwaltung;;;;;;;;;
Beratung von Interessenten;;;;;;;x;;
Bearbeitung von Aufnahmeanträgen (Mitgliederliste, Statistik, Ausweis, Zuweisung zur Abteilung);;;;;;;x;;
Information über Kündigung von Mitgliedern per Mail an Abteilungsleiter;;;;;;;x;;
Betreuung der Mitglieder (Information, Angebot, Mitgliederpflege, Adressen und Bankverbindungspflege);;;;;;;x;;
Vereinsarchiv: Auswertung von Unterlagen, Dokumenten, Niederschriften, Fotos, Filmen und Wettkämpfen, Archivierung, Erstellung von Chroniken;;;;;x; ;;;
Verantwortlich für Mail Postfach praesident@merc-online.de;x;;;;;;;;
Verantwortlich für Mail Postfach Kunstlauf@merc-online.de;;x;;;;;;;
Verantwortlich für Mail Postfach Schnelllauf@merc-online.de;;;x;;;;;;
Verantwortlich für Mail Postfach schatzmeister@merc-online.de;;;;x;;; ;;
Verantwortlich für Mail Postfach office@merc-online.de  und die Verteilung an entprechende Verantwortliche;;;;;;;x;;
Verantwortlich für Mail Postfach Schriftfuehrer@merc-online.de;;;;;x;;;;
Verantwortlich für Mail Postfach Jugendleiter@merc-online.de;;;;;;x;;;
Verantwortlich für Mail Postfach Stv.Schnelllauf@merc-online.de;;;x;;;;;;
Verantwortlich für Mail Postfach stv.Kunstlauf@merc-online.de;;x;;;;;;;
Verantwortlich für Mail Postfach Datenschutz@merc-online.de;;;; ;;;x;x;
Verantwortlich für Mail Postfach Jugendleiter@merc-online.de;;;;;;;;;
Protokoll der Vorstandssitzungen;;;;;x;;;;
Protokoll der Mitgliederversammlung;;;;;x;;;;
Protokoll der Abteilungsversammlungen;;;;;x;;;;
Koordiniert und organisiert die Vorstandssitzungen;;;;;x;;;;
Koordiniert und organisiert die Abteilungs- und Mitgliederversammlung;;;;;x;;;;
Kontrolle der Nutzung Küche, Aufenthalts und Hausaufgabenraums;;;;;;x;x;;
1. Ansprechpartner für Eltern;;;x;;;x;x;;
Betreut die Geschäftsstelle während der Öffnungszeiten;;;;;;;x;;
verantwortlich für den Post und Briefverkehr;;;;;;;x;;
holt Einschreiben von der Post ab;;;;;;;x;;
Koordiniert die Durchführung der Reinigung der Vereinsstätte;;;;;;;x;;
Koordiniert den Schlittschuhverleih;;;;;;;x;;
Koordiniert den Schrankverleih;;;;;;;x;;
organisiert die DGVA 3 Prüfung aller Elektrogeräte;;;;;;;x;;
Pflegt die Ausdrucke in der Geschäftsstelle / Formulare ausdrucken in ausreichender Zahl;;;;;;;x;;
Druckt die Urkunden für interne Wettbewerbe;;;;;;;x;;
macht Aushänge für die Eishalle;;;;;;;x;;
Bringt Vorschläge für die Vorstandssitzung zum Beschluss ein;x;x;x;x;x;x;x;x;
Dokumentiert die Gespräche mit den Eismeistern, je nach Themen;x;x;x;x;x;x;x;;
Verantwortlich für den internen Schlittschuhverleih, Material und Kosten KL;;x;;;;;;;
Verantwortlich für den internen Schlittschuhverleih, Material und Kosten SL; ;;x;;;;;;
Betreut Software mit dem Hersteller Intelli, Lexware, Buchaltungsbutler,;;;;x;;;;;
Marketing & Öffentlichkeitsarbeit -> sollte eigenständig/e Funktionsträger/in sein Verantwortung liegt bei Präsident;x;;;;;;;;
Pflege der Homepage;;x;x;;x;;x;;
Vereins-, Markt-, Umfeld, Nachfrager- und Konsumentenanalyse;;;;;x;;;;
Allgemein: Produkt-, Vertriebs-, Preis-, Kommunikationspolitik (z.B. Analyse über Entwicklung der Beiträge );;;;;x;;;;
insbesondere: Werbung, Veranstaltungen, Pressearbeit, Vereinszeitung, Internet;;;;;x;;;;
Betreut die Facebook / Instagramm seite des Vereins;;;;;x;;;;
Bilder und Berichte an den Schriftführer schicken;;x;x;;;x;;;
Stellt die Trainingspläne online;;;;;x;;;;
Formulargestaltung aller internen Belege gem. CI;;;;;x;;;;
;;;;;;;;;
;;;;;;;;;
Finanzen & Steuern;;;;x;;;;;
Haushalt, Kontrolle (Soll-/Ist-Vergleich);;x;x;x;;;;;
Kontenplan und Kostenstellenplan: Berücksichtigung der Erfordernisse nach den vier Geschäftsbereichen: ideeller Bereich, Vermögensverwaltung,  Zweckbetrieb, Wirtschaftlicher Geschäftsbetrieb;;;;x;;;;;
Führung der Vereinsbuchhaltung: Auftragswesen, Rechnungswesen (Kontrolle und Ausweisung), Kassenwesen (einschließl. Nebenkassen), betriebswirtschaftliche Auswertung;;;;x;;;;;
Führung der Barkasse von Saisonanfang bis Saisonende;;;;;;;x;;
Zusammenarbeit mit dem Finanzamt, ggf. Steuerberater;;;;x;;;;;
Zieht Beiträge und Gebühren ein;;;;x;;;;;
Rechnungsprüfung;;x;x;x;;;x;;
Reisekostenprüfung;;x;x;x;;;;;
Abrechnungsprüfung Trainer;;x;x;x;;;x;;
Sicherung der Liquidität :Geldanlage, Darlehn/Kredite, Sponsoren/Spenden;;;;x;;;;;
Zuschussanträge Stadt Mannheim, EBW;;x;;x;;;;;
Förderungsmaßnahmen aller Art: Zuschussanträge an öffentliche Hände und Verbände (Sportgeräte, Übungs-, Organisations- und Jugendleiterzuschüsse,;;;;x;;;;;
Beitrags- und Mahnwesen: Rechnungen, Ausgangsbuchungen, Eingangsbuchungen, Beitragslisten, Mahnungen;;;;x;x;;;;
erstellt Haushaltsplan für Abteilung;;x;x;;;;;;
erstellt Haushaltsplan für Geschäftsstelle;;;;;;;x;;
erstellt Gesamthaushaltsplan;;;;x;;;;;
erstellt Haushaltsplan für Jugendleitung;;;;;;x;;;
schreibt Rechnungen über annfallende Beiträge für alle Kurse und Meldungen und zieht diese gem. SEPA ein;;;;;;;;;
übergibt am Ende der Saison Liste mit Schrankvermietungen zum Einzug der Mietkosten im lfd. Geschäftsjahr;;;;;;;;;
Budgetplanung soweit nicht im Haushaltsplan ersichtlich;;;;;;;;;
Anträge für Zuschüsse beim EBW BSB stellen;;;;x;;;;;
Anträge für Zuschüsse Stadt Mannheim Sportkreis stellen;;x;x;;;;;;
Jugendarbeit;;;;;;;;;
Gleichrangige Förderung der sportlichen und außersportlichen Jugendarbeit;;; ;;;x;;;
Wahl der Aktivensprecher/in für Jugendliche und Kinder i.V. mit Jugendwarten;;;;;;x;;;
Unterstützung/Koordination bei Veranstaltungen i.V. mit Jugendwarten;;;;;;x;;;
Organisation Sauberkeit Räumlichkeiten der Vereinsstätte i.V. mit Jugendwarten;;;;;;x;;;
Intensivierung der Mitarbeitergewinnung;;; ;;;x;;;
Umsetzung einer zukunftsorientierten Jugendarbeit, die sich an den Bedürfnissen und Interessen der Jugendlichen orientiert.;;; ;;;x;;;
Beschäftigung mit allen jugendpolitisch relevanten Fragestellung in ihrer Auswirkung auf Jugendliche, insbesondere in den Bereichen Familie/Schule/Beruf, Umwelt, Frieden;;; ;;;x;;;
Vertritt die Jugend im Vorstand;;;;;;x;;;
Verantwortlich für Planung und Organisation der Jugendsitzungen;;;;;;x;;;
Überwachung von Auszeichnungen und Ehrungen;;x;x;;;x;x;;
Organisation von Geschenken, Weihnachten, Jubiläum i.V. mit Jugendwarten;;;;;;x;x;;
;;;;;;;;;
;;;;;;;;;
Datenschutz;;;;;;;;;
Verantwortung;x;;;;;;;;
Datenschutz Ansprechpartner; ;;;;;;x;;
Verfahrensdokumentation;;;; ;;;x;x;
Vorbereitung Risikoanalyse;;;; ;;;x;x;
Risikoanalyse;x;x;x;x; ;;;;
Formulargestaltung aller internen Belege gem. CI;;x;x;x;x;;x; ;
Vorschläge Änderungsanforderungen an Formulare;x;x;x;x;x;x;x;x;
Antworten auf Datenschutzanfragen;; ;;;;;x;x;
Holt Freigaben für Berichte in Wort und Bild bei Mitgliedern ein;;;;;;;x;;
;;;;;;;;;
;;;;;;;;;
Meldungen für Wettkämpfe;;;;;;;;;
Ausschreibungen prüfen;;x;x;;;;;;
Meldungen intern mit Trainern klären;;x;x;;;;;;
Meldet Teilnehmer an Office;;x;x;;;;;;
Offizielle Meldungen an Verband oder Veranstalter  EBW  KL;;x;x;;;;x;;
Offizielle Meldungen an Verband oder Veranstalter Ausland KL;;x;;;;;x;;
Hält die aktiven Sportler im Meldeportal aktuell SL;;;;x;;;;;
Offizielle Meldungen an Verband oder Veranstalter über Meldeportal  SL;;;;;;;;;
Schreibt Eltern an zur Zahlung der MG;;;;;;;x;;
Mahnt offene Zahlungen MG der Eltern an;;;;;;;x;;
Meldet die Meldegebühr an den Schatzmeister zur Bezahlung;;x;;;;;x;;
Bezahlt Meldegebühren;;;;x;;;;;
Schreibt Rechnung über MG und zieht diese gem- Sepa Mandat ein;;;;x;;;;;
;;;;;;;;;
Lizenzmeldungen an den Verband;;;;;;;;;
Prüfen der Ablaufzeiten der Lizenzen und Information an Abtl. und Betroffenen;;;;x;;; ;;
Abrechnung der Lizenzzuschüsse;;;;x;;;;;
;;;;;;;;;
;;;;;;;;;
Schulungen;;;;;;;;;
Schulungen planen;x;x;x;x;x;x;;;
Schulungen / Trainer/ Übungsleiter Lizenzverlängerungen  anmelden;;;;;;;x;;
Schulungen Fortbildungen Vereinsmanagement BSB / WLSB / SBRheinland …. anmelden;;;;x;;;;;
